TEAM_ABBREVIATION,PLAYER_NAME,START_POSITION,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
DAL,Tim Hardaway Jr.,G,45,220.0,557.0,0.395,109.0,320.0,0.3406,82.0,108.0,0.7593,0.49,0.33,3.36,3.69,2.22,0.84,0.18,0.76,1.67,14.02,94.0
POR,Nassir Little,F,43,146.0,324.0,0.4506,51.0,157.0,0.3248,70.0,96.0,0.7292,0.53,1.35,4.33,5.67,1.28,0.58,0.84,1.05,1.95,9.6,-39.0
MIN,McKinley Wright IV,,6,3.0,10.0,0.3,2.0,5.0,0.4,2.0,5.0,0.4,0.4,0.0,0.17,0.17,0.67,0.17,0.33,0.17,0.17,1.67,-4.0
CHI,Marko Simonovic,,10,4.0,16.0,0.25,1.0,5.0,0.2,8.0,11.0,0.7273,0.28,0.6,0.5,1.1,0.0,0.1,0.2,0.2,0.7,1.7,-4.0
MEM,Dakota Mathias,,6,2.0,6.0,0.3333,2.0,6.0,0.3333,0.0,0.0,,0.5,0.0,0.33,0.33,0.17,0.17,0.0,0.0,0.17,1.0,-11.0
CLE/UTA,Denzel Valentine,,27,27.0,72.0,0.375,20.0,51.0,0.3922,3.0,4.0,0.75,0.51,0.37,1.48,1.85,0.41,0.37,0.0,0.59,0.85,2.85,-25.0
BKN/LAC/DEN,James Ennis III,,7,11.0,24.0,0.4583,3.0,8.0,0.375,4.0,5.0,0.8,0.52,0.71,1.0,1.71,0.43,0.29,0.29,0.29,0.71,4.14,0.0
IND,Myles Turner,F,46,215.0,428.0,0.5023,65.0,200.0,0.325,89.0,117.0,0.7607,0.58,1.5,5.39,6.89,1.04,0.65,2.65,1.35,2.74,12.7,-22.0
CHI,Lonzo Ball,G,39,178.0,420.0,0.4238,119.0,280.0,0.425,22.0,32.0,0.6875,0.57,0.95,4.49,5.44,5.03,1.9,0.97,2.23,2.26,12.74,169.0
CHI,Devon Dotson,,15,13.0,32.0,0.4062,3.0,12.0,0.25,7.0,13.0,0.5385,0.45,0.13,0.93,1.07,1.33,0.13,0.0,0.4,0.87,2.4,-8.0
